ds,name,civ,labor,emp,unemp
1976-01-01,Alabama,2605000,1484555,1386023,98532
1976-01-01,Alaska,232000,160183,148820,11363
1976-01-01,Arizona,1621000,964120,865871,98249
1976-01-01,Arkansas,1536000,889044,824395,64649
1976-01-01,California,15621000,9774280,8875685,898595
1976-01-01,Colorado,1832000,1230966,1160104,70862
1976-01-01,Connecticut,2248000,1442847,1301974,140873
1976-01-01,Delaware,417000,261418,240543,20875
1976-01-01,Florida,6421000,3584876,3238460,346416
1976-01-01,Georgia,3522000,2244770,2056467,188303
1976-01-01,Hawaii,583000,407457,367586,39871
1976-01-01,Idaho,580000,365606,345182,20424
1976-01-01,Illinois,8127000,5123609,4786415,337194
1976-01-01,Indiana,3789000,2425346,2265849,159497
1976-01-01,Iowa,2066000,1329798,1272281,57517
1976-01-01,Kansas,1635000,1065059,1020396,44663
1976-01-01,Kentucky,2459000,1486550,1402625,83925
1976-01-01,Louisiana,2672000,1517348,1421440,95908
1976-01-01,Maine,764000,474371,433260,41111
1976-01-01,Maryland,2954000,1899337,1777055,122282
1976-01-01,Massachusetts,4194000,2717096,2432377,284719
1976-01-01,Michigan,6417000,3952851,3562759,390092
1976-01-01,Minnesota,2788000,1829382,1719817,109565
1976-01-01,Mississippi,1640000,963611,899280,64331
1976-01-01,Missouri,3464000,2094063,1969511,124552
1976-01-01,Montana,531000,332790,313402,19388
1976-01-01,Nebraska,1095000,711096,687431,23665
1976-01-01,Nevada,451000,321579,291933,29646
1976-01-01,Ohio,7701000,4754858,4368782,386076
1976-01-01,Oklahoma,1999000,1186198,1116824,69374
1976-01-01,Oregon,1716000,1078645,976450,102195
1976-01-01,Pennsylvania,8774000,5122733,4710510,412223
1976-01-01,Tennessee,3078000,1834194,1723616,110578
1976-01-01,Texas,8818000,5623303,5294695,328608
1976-01-01,Utah,824000,517325,487063,30262
1976-01-01,Vermont,339000,215575,196968,18607
1976-01-01,Virginia,3534000,2330159,2187531,142628
1976-01-01,Washington,2598000,1583070,1448543,134527
1976-01-01,Wisconsin,3245000,2128893,2005997,122896
1976-01-01,Wyoming,270000,176214,169014,7200
1976-02-01,Alabama,2610000,1483950,1385675,98275
1976-02-01,Alaska,234000,160022,148718,11304
1976-02-01,Arizona,1626000,963394,865215,98179
1976-02-01,Arkansas,1538000,888771,824008,64763
1976-02-01,California,15657000,9768885,8871553,897332
1976-02-01,Colorado,1837000,1230680,1160001,70679
1976-02-01,Connecticut,2251000,1442118,1301107,141011
1976-02-01,Delaware,418000,261325,240545,20780
1976-02-01,Florida,6437000,3583970,3237372,346598
1976-02-01,Georgia,3528000,2243779,2055366,188413
1976-02-01,Hawaii,585000,407385,367403,39982
1976-02-01,Idaho,582000,365295,344916,20379
1976-02-01,Illinois,8136000,5122237,4785460,336777
1976-02-01,Indiana,3793000,2424387,2264552,159835
