ds,name,civ,labor,emp,unemp
2008-01-01,Alabama,3577198,2171477,2061406,110071
2008-01-01,Alaska,498693,347658,322830,24828
2008-01-01,Arizona,4822624,3048863,2912105,136758
2008-01-01,Arkansas,2177814,1332982,1255266,77716
2008-01-01,California,27453421,17988606,16842411,1146195
2008-01-01,Colorado,3733587,2715804,2590207,125597
2008-01-01,Connecticut,2718370,1858666,1758354,100312
2008-01-01,Delaware,673835,448670,428398,20272
2008-01-01,Florida,14421176,9127336,8728208,399128
2008-01-01,Georgia,7145219,4864210,4587190,277020
2008-01-01,Hawaii,972401,642461,622234,20227
2008-01-01,Idaho,1125010,748021,716262,31759
2008-01-01,Illinois,9782110,6665726,6248036,417690
2008-01-01,Indiana,4858075,3205507,3032465,173042
2008-01-01,Iowa,2313758,1663105,1588198,74907
2008-01-01,Kansas,2104656,1479049,1412114,66935
2008-01-01,Kentucky,3293294,2015015,1895688,119327
2008-01-01,Louisiana,3328228,2021945,1931104,90841
2008-01-01,Maine,1060238,693749,655269,38480
2008-01-01,Maryland,4342905,2986942,2871579,115363
2008-01-01,Massachusetts,5161571,3424276,3245010,179266
2008-01-01,Michigan,7775722,4923092,4541731,381361
2008-01-01,Minnesota,4034155,2878621,2718407,160214
2008-01-01,Mississippi,2180462,1295451,1212181,83270
2008-01-01,Missouri,4557530,3040242,2858403,181839
2008-01-01,Montana,755967,504946,480524,24422
2008-01-01,Nebraska,1347708,976129,943527,32602
2008-01-01,Nevada,1961491,1361703,1282920,78783
2008-01-01,Ohio,8918397,5950827,5574913,375914
2008-01-01,Oklahoma,2731019,1714409,1651143,63266
2008-01-01,Oregon,2951299,1912606,1799626,112980
2008-01-01,Pennsylvania,9863659,6380089,6036966,343123
2008-01-01,Tennessee,4795355,3033431,2857673,175758
2008-01-01,Texas,17582139,11521768,10984265,537503
2008-01-01,Utah,1914712,1386365,1343002,43363
2008-01-01,Vermont,503680,351566,334847,16719
2008-01-01,Virginia,5895643,4060419,3895571,164848
2008-01-01,Washington,5051757,3438496,3257136,181360
2008-01-01,Wisconsin,4375769,3068771,2911655,157116
2008-01-01,Wyoming,407544,292482,282176,10306
2008-02-01,Alabama,3579499,2163864,2055573,108291
2008-02-01,Alaska,499046,348615,323492,25123
2008-02-01,Arizona,4830910,3038659,2910949,127710
2008-02-01,Arkansas,2179102,1340541,1267086,73455
2008-02-01,California,27479147,18001749,16872625,1129124
2008-02-01,Colorado,3739334,2714527,2589465,125062
2008-02-01,Connecticut,2719672,1850212,1751907,98305
2008-02-01,Delaware,674570,446966,427244,19722
2008-02-01,Florida,14430272,9084185,8699548,384637
2008-02-01,Georgia,7154305,4852357,4574865,277492
2008-02-01,Hawaii,972875,637743,618514,19229
2008-02-01,Idaho,1126616,745894,715177,30717
2008-02-01,Illinois,9786404,6653392,6249183,404209
2008-02-01,Indiana,4860492,3199266,3022083,177183
2008-02-01,Iowa,2314422,1661064,1590707,70357
2008-02-01,Kansas,2105468,1477818,1413285,64533
2008-02-01,Kentucky,3295867,2007387,1886041,121346
2008-02-01,Louisiana,3332810,2016983,1942340,74643
