ds,name,civ,labor,emp,unemp
01/01/2008,Alabama,3577198,2182712,2083744,98968
01/01/2008,Alaska,498693,352640,330728,21912
01/01/2008,Arizona,4822624,3048650,2918156,130494
01/01/2008,Arkansas,2177814,1353678,1284620,69058
01/01/2008,California,27453421,18047064,16979728,1067336
01/01/2008,Colorado,3733587,2729192,2615692,113500
01/01/2008,Connecticut,2718370,1869605,1779846,89759
01/01/2008,Delaware,673835,449481,432002,17479
01/01/2008,Florida,14421176,9166494,8780743,385751
01/01/2008,Georgia,7145219,4866898,4601237,265661
01/01/2008,Hawaii,972401,640525,620658,19867
01/01/2008,Idaho,1125010,753003,729462,23541
01/01/2008,Illinois,9782110,6709673,6334043,375630
01/01/2008,Indiana,4858075,3222317,3068926,153391
01/01/2008,Iowa,2313758,1671514,1610160,61354
01/01/2008,Kansas,2104656,1488330,1424783,63547
01/01/2008,Kentucky,3293294,2027269,1919001,108268
01/01/2008,Louisiana,3328228,2046613,1963488,83125
01/01/2008,Maine,1060238,701344,668746,32598
01/01/2008,Maryland,4342905,3006981,2899910,107071
01/01/2008,Massachusetts,5161571,3443336,3287272,156064
01/01/2008,Michigan,7775722,4962050,4604930,357120
01/01/2008,Minnesota,4034155,2896805,2760194,136611
01/01/2008,Mississippi,2180462,1303465,1224659,78806
01/01/2008,Missouri,4557530,3064242,2899013,165229
01/01/2008,Montana,755967,510364,490873,19491
01/01/2008,Nebraska,1347708,984852,955811,29041
01/01/2008,Nevada,1961491,1364101,1291670,72431
01/01/2008,Ohio,8918397,6014754,5675960,338794
01/01/2008,Oklahoma,2731019,1726265,1667262,59003
01/01/2008,Oregon,2951299,1925863,1827073,98790
01/01/2008,Pennsylvania,9863659,6397499,6090155,307344
01/01/2008,Tennessee,4795355,3050278,2887750,162528
01/01/2008,Texas,17582139,11551722,11049469,502253
01/01/2008,Utah,1914712,1390196,1350736,39460
01/01/2008,Vermont,503680,352192,337980,14212
01/01/2008,Virginia,5895643,4089713,3941102,148611
01/01/2008,Washington,5051757,3446781,3288083,158698
01/01/2008,Wisconsin,4375769,3092444,2952857,139587
01/01/2008,Wyoming,407544,294176,286531,7645
01/02/2008,Alabama,3579499,2182002,2079970,102032
01/02/2008,Alaska,499046,353200,331231,21969
01/02/2008,Arizona,4830910,3055250,2919912,135338
01/02/2008,Arkansas,2179102,1353823,1286093,67730
01/02/2008,California,27479147,18061461,16972015,1089446
01/02/2008,Colorado,3739334,2730710,2615827,114883
