ds,name,civ,labor,emp,unemp
2000-01-01,Alabama,3370052,2155396,2054501,100895
2000-01-01,Alaska,434957,319633,299870,19763
2000-01-01,Arizona,3813839,2497340,2395317,102023
2000-01-01,Arkansas,2017825,1266292,1211679,54613
2000-01-01,California,24941075,16664807,15837398,827409
2000-01-01,Colorado,3232278,2350618,2285246,65372
2000-01-01,Connecticut,2590032,1760389,1721240,39149
2000-01-01,Delaware,594204,406118,392385,13733
2000-01-01,Florida,12407981,7822185,7531066,291119
2000-01-01,Georgia,6041316,4172874,4023896,148978
2000-01-01,Hawaii,902870,606243,578581,27662
2000-01-01,Idaho,943015,656618,626419,30199
2000-01-01,Illinois,9333119,6526981,6244525,282456
2000-01-01,Indiana,4587654,3135118,3038427,96691
2000-01-01,Iowa,2229700,1593903,1554073,39830
2000-01-01,Kansas,1997430,1409187,1358376,50811
2000-01-01,Kentucky,3077024,1955366,1875237,80129
2000-01-01,Louisiana,3287577,2031853,1932931,98922
2000-01-01,Maine,990197,681190,655933,25257
2000-01-01,Maryland,3975785,2783617,2691746,91871
2000-01-01,Massachusetts,4914798,3354162,3250508,103654
2000-01-01,Michigan,7493672,5153554,4983267,170287
2000-01-01,Minnesota,3708892,2776344,2696809,79535
2000-01-01,Mississippi,2093329,1307058,1236272,70786
2000-01-01,Missouri,4223368,2961435,2872340,89095
2000-01-01,Montana,683919,470003,446727,23276
2000-01-01,Nebraska,1280495,937258,911648,25610
2000-01-01,Nevada,1499999,1048870,1007988,40882
2000-01-01,Ohio,8608455,5797908,5553680,244228
2000-01-01,Oklahoma,2573844,1658242,1606427,51815
2000-01-01,Oregon,2629730,1805513,1714341,91172
2000-01-01,Pennsylvania,9482812,6094090,5839250,254840
2000-01-01,Tennessee,4341004,2848463,2740564,107899
2000-01-01,Texas,15081764,10374888,9882205,492683
2000-01-01,Utah,1570259,1132480,1096923,35557
2000-01-01,Vermont,470949,333451,324117,9334
2000-01-01,Virginia,5281445,3591840,3498977,92863
2000-01-01,Washington,4440427,3082251,2933306,148945
2000-01-01,Wisconsin,4070114,2976661,2885231,91430
2000-01-01,Wyoming,372599,265096,254385,10711
2000-02-01,Alabama,3370854,2155360,2055016,100344
2000-02-01,Alaska,435948,319868,300021,19847
2000-02-01,Arizona,3820622,2498683,2398154,100529
2000-02-01,Arkansas,2019236,1266602,1212498,54104
2000-02-01,California,24967167,16709195,15880102,829093
2000-02-01,Colorado,3238256,2352798,2288901,63897
2000-02-01,Connecticut,2590495,1763187,1724811,38376
2000-02-01,Delaware,594280,407498,393590,13908
2000-02-01,Florida,12424337,7847658,7555736,291922
2000-02-01,Georgia,6049327,4180891,4032279,148612
2000-02-01,Hawaii,903001,606667,579529,27138
2000-02-01,Idaho,945015,657658,627655,30003
2000-02-01,Illinois,9334368,6529947,6246588,283359
2000-02-01,Indiana,4588221,3135810,3039102,96708
2000-02-01,Iowa,2230028,1593990,1553843,40147
2000-02-01,Kansas,1997441,1409276,1357876,51400
2000-02-01,Kentucky,3078073,1956533,1877374,79159
2000-02-01,Louisiana,3287598,2032546,1933151,99395
2000-02-01,Maine,991173,682105,657687,24418
2000-02-01,Maryland,3977610,2786471,2693546,92925
2000-02-01,Massachusetts,4916788,3352184,3251345,100839
2000-02-01,Michigan,7495371,5157825,4990893,166932
2000-02-01,Minnesota,3712577,2781831,2701685,80146
2000-02-01,Mississippi,2093431,1310521,1238908,71613
