record_id,date,AverageTemperatureFahr,AverageTemperatureUncertaintyFahr,City,country_id,Country,Latitude,Longitude
3778389,1757-7-1,78.6758,40.6526,Kherson,UKR,Ukraine,47.42N,31.97E
3781329,2002-7-1,78.5678,32.4158,Kherson,UKR,Ukraine,47.42N,31.97E
3781317,2001-7-1,78.3788,32.5112,Kherson,UKR,Ukraine,47.42N,31.97E
3781426,2010-8-1,78.3554,32.5976,Kherson,UKR,Ukraine,47.42N,31.97E
3780537,1936-7-1,78.3518,32.567,Kherson,UKR,Ukraine,47.42N,31.97E
3781449,2012-7-1,78.2132,32.9612,Kherson,UKR,Ukraine,47.42N,31.97E
5415826,2010-8-1,77.8748,32.486,Odesa,UKR,Ukraine,45.81N,31.15E
3778437,1761-7-1,77.7614,41.0378,Kherson,UKR,Ukraine,47.42N,31.97E
3780561,1938-7-1,77.6858,32.603,Kherson,UKR,Ukraine,47.42N,31.97E
5412789,1757-7-1,77.1836,40.4978,Odesa,UKR,Ukraine,45.81N,31.15E
3781389,2007-7-1,77.0954,33.2366,Kherson,UKR,Ukraine,47.42N,31.97E
3780813,1959-7-1,77.0306,32.522,Kherson,UKR,Ukraine,47.42N,31.97E
3778761,1788-7-1,76.9046,38.8868,Kherson,UKR,Ukraine,47.42N,31.97E
3781293,1999-7-1,76.8974,32.1638,Kherson,UKR,Ukraine,47.42N,31.97E
3780454,1929-8-1,76.7462,32.6498,Kherson,UKR,Ukraine,47.42N,31.97E
5412837,1761-7-1,76.6472,40.838,Odesa,UKR,Ukraine,45.81N,31.15E
3779397,1841-7-1,76.5608,35.1194,Kherson,UKR,Ukraine,47.42N,31.97E
5415729,2002-7-1,76.5536,32.3978,Odesa,UKR,Ukraine,45.81N,31.15E
5415849,2012-7-1,76.4726,33.0854,Odesa,UKR,Ukraine,45.81N,31.15E
5415717,2001-7-1,76.442,32.3762,Odesa,UKR,Ukraine,45.81N,31.15E
5414854,1929-8-1,76.4096,32.8082,Odesa,UKR,Ukraine,45.81N,31.15E
3820467,2010-7-1,76.2674,32.6732,Kiev,UKR,Ukraine,50.63N,31.69E
3781210,1992-8-1,76.2314,32.4608,Kherson,UKR,Ukraine,47.42N,31.97E
3781425,2010-7-1,76.1252,32.6156,Kherson,UKR,Ukraine,47.42N,31.97E
5414937,1936-7-1,75.956,32.4536,Odesa,UKR,Ukraine,45.81N,31.15E
3819579,1936-7-1,75.9524,32.6282,Kiev,UKR,Ukraine,50.63N,31.69E
3778593,1774-7-1,75.9074,41.6282,Kherson,UKR,Ukraine,47.42N,31.97E
3820359,2001-7-1,75.8462,32.4842,Kiev,UKR,Ukraine,50.63N,31.69E
3779217,1826-7-1,75.7166,36.5702,Kherson,UKR,Ukraine,47.42N,31.97E
3781390,2007-8-1,75.6536,32.4194,Kherson,UKR,Ukraine,47.42N,31.97E
5415610,1992-8-1,75.5906,32.6588,Odesa,UKR,Ukraine,45.81N,31.15E
5413161,1788-7-1,75.5456,38.8742,Odesa,UKR,Ukraine,45.81N,31.15E
5414961,1938-7-1,75.5222,32.54,Odesa,UKR,Ukraine,45.81N,31.15E
3820468,2010-8-1,75.4772,32.6552,Kiev,UKR,Ukraine,50.63N,31.69E
5415790,2007-8-1,75.461,32.4662,Odesa,UKR,Ukraine,45.81N,31.15E
3780477,1931-7-1,75.3746,32.5562,Kherson,UKR,Ukraine,47.42N,31.97E
3779506,1850-8-1,75.344,34.5902,Kherson,UKR,Ukraine,47.42N,31.97E
5413114,1784-8-1,75.3098,42.4904,Odesa,UKR,Ukraine,45.81N,31.15E
3778714,1784-8-1,75.3026,42.4814,Kherson,UKR,Ukraine,47.42N,31.97E
5415789,2007-7-1,75.2954,32.9288,Odesa,UKR,Ukraine,45.81N,31.15E
3780658,1946-8-1,75.2522,32.5184,Kherson,UKR,Ukraine,47.42N,31.97E
3779889,1882-7-1,75.173,32.7974,Kherson,UKR,Ukraine,47.42N,31.97E
5415693,1999-7-1,75.1262,32.5076,Odesa,UKR,Ukraine,45.81N,31.15E
3820371,2002-7-1,75.056,32.7848,Kiev,UKR,Ukraine,50.63N,31.69E
3778773,1789-7-1,74.9912,37.148,Kherson,UKR,Ukraine,47.42N,31.97E
5413906,1850-8-1,74.9462,34.4642,Odesa,UKR,Ukraine,45.81N,31.15E
3778461,1763-7-1,74.9282,35.6252,Kherson,UKR,Ukraine,47.42N,31.97E
3779374,1839-8-1,74.9084,37.2956,Kherson,UKR,Ukraine,47.42N,31.97E
3781437,2011-7-1,74.8652,32.4932,Kherson,UKR,Ukraine,47.42N,31.97E
3778388,1757-6-1,74.8004,37.571,Kherson,UKR,Ukraine,47.42N,31.97E
3781197,1991-7-1,74.7734,32.6984,Kherson,UKR,Ukraine,47.42N,31.97E
3779986,1890-8-1,74.7572,32.8478,Kherson,UKR,Ukraine,47.42N,31.97E
3779385,1840-7-1,74.7176,33.4778,Kherson,UKR,Ukraine,47.42N,31.97E
3780861,1963-7-1,74.6888,32.783,Kherson,UKR,Ukraine,47.42N,31.97E
3781413,2009-7-1,74.6798,32.5004,Kherson,UKR,Ukraine,47.42N,31.97E
5415058,1946-8-1,74.6798,32.7308,Odesa,UKR,Ukraine,45.81N,31.15E
3780562,1938-8-1,74.6564,32.5598,Kherson,UKR,Ukraine,47.42N,31.97E
5413797,1841-7-1,74.5826,35.2508,Odesa,UKR,Ukraine,45.81N,31.15E
3778929,1802-7-1,74.5808,35.5064,Kherson,UKR,Ukraine,47.42N,31.97E
3778678,1781-8-1,74.5664,34.7918,Kherson,UKR,Ukraine,47.42N,31.97E
5415213,1959-7-1,74.5484,32.4518,Odesa,UKR,Ukraine,45.81N,31.15E
5415802,2008-8-1,74.5106,32.5112,Odesa,UKR,Ukraine,45.81N,31.15E
3781402,2008-8-1,74.4746,32.6246,Kherson,UKR,Ukraine,47.42N,31.97E
5413078,1781-8-1,74.408,34.8962,Odesa,UKR,Ukraine,45.81N,31.15E
5415718,2001-8-1,74.408,32.3924,Odesa,UKR,Ukraine,45.81N,31.15E
3780945,1970-7-1,74.4062,32.1926,Kherson,UKR,Ukraine,47.42N,31.97E
5412993,1774-7-1,74.3792,41.5022,Odesa,UKR,Ukraine,45.81N,31.15E
5414386,1890-8-1,74.372,33.0494,Odesa,UKR,Ukraine,45.81N,31.15E
3779445,1845-7-1,74.345,33.7478,Kherson,UKR,Ukraine,47.42N,31.97E
3780969,1972-7-1,74.3162,32.6534,Kherson,UKR,Ukraine,47.42N,31.97E
3780573,1939-7-1,74.3054,32.4932,Kherson,UKR,Ukraine,47.42N,31.97E
