record_id,date,AverageTemperatureFahr,AverageTemperatureUncertaintyFahr,City,country_id,Country,Latitude,Longitude
5415862,2013-8-1,73.8266,32.63,Odesa,UKR,Ukraine,45.81N,31.15E
3781462,2013-8-1,73.1498,32.819,Kherson,UKR,Ukraine,47.42N,31.97E
3820504,2013-8-1,67.8992,32.5886,Kiev,UKR,Ukraine,50.63N,31.69E
4435016,2013-8-1,66.5024,32.4194,Lvov,UKR,Ukraine,50.63N,24.08E
7180640,2013-8-1,62.4632,32.7722,Stockholm,SWE,Sweden,58.66N,18.46E
7899939,2013-8-1,59.1638,32.6246,Uppsala,SWE,Sweden,60.27N,16.22E
1358228,2013-8-1,54.2732,33.5822,Cape Town,SOU,South Africa,32.95S,18.19E
3503450,2013-8-1,53.9852,32.9558,Johannesburg,SOU,South Africa,26.52S,28.66E
8159633,2013-8-1,66.7004,32.9954,Warsaw,POL,Poland,52.24N,21.02E
8258729,2013-8-1,64.5656,32.4842,Wroclaw,POL,Poland,50.63N,16.48E
476303,2013-8-1,56.7644,32.8118,Auckland,NEW,New Zealand,36.17S,175.03E
2847703,2013-8-1,52.8476,32.9054,Hamilton,NEW,New Zealand,37.78S,174.92E
7716946,2013-8-1,83.3522,32.4374,Tottori,JAP,Japan,34.56N,134.27E
7661245,2013-8-1,79.4552,32.8298,Tokyo,JAP,Japan,36.17N,139.23E
4673159,2013-8-1,75.1874,33.1196,Marseille,FRA,France,42.59N,6.55E
5702517,2013-8-1,66.623,32.7182,Paris,FRA,France,49.03N,2.45E
1101238,2013-8-1,72.329,32.6102,Brasília,BRA,Brazil,15.27S,47.50W
1349014,2013-8-1,55.5278,33.008,Canoas,BRA,Brazil,29.74S,51.69W
3781461,2013-7-1,72.4496,32.603,Kherson,UKR,Ukraine,47.42N,31.97E
5415861,2013-7-1,71.312,32.8082,Odesa,UKR,Ukraine,45.81N,31.15E
3820503,2013-7-1,68.8694,32.4392,Kiev,UKR,Ukraine,50.63N,31.69E
4435015,2013-7-1,66.4844,32.5454,Lvov,UKR,Ukraine,50.63N,24.08E
7180639,2013-7-1,62.636,33.3752,Stockholm,SWE,Sweden,58.66N,18.46E
7899938,2013-7-1,62.2184,32.9522,Uppsala,SWE,Sweden,60.27N,16.22E
1358227,2013-7-1,56.3468,33.6704,Cape Town,SOU,South Africa,32.95S,18.19E
3503449,2013-7-1,49.559,34.2068,Johannesburg,SOU,South Africa,26.52S,28.66E
8159632,2013-7-1,67.3484,33.0026,Warsaw,POL,Poland,52.24N,21.02E
8258728,2013-7-1,66.7706,32.5706,Wroclaw,POL,Poland,50.63N,16.48E
476302,2013-7-1,54.221,32.9774,Auckland,NEW,New Zealand,36.17S,175.03E
2847702,2013-7-1,49.334,32.9558,Hamilton,NEW,New Zealand,37.78S,174.92E
7716945,2013-7-1,81.6728,32.4266,Tottori,JAP,Japan,34.56N,134.27E
7661244,2013-7-1,76.361,32.7272,Tokyo,JAP,Japan,36.17N,139.23E
4673158,2013-7-1,75.3674,33.0692,Marseille,FRA,France,42.59N,6.55E
5702516,2013-7-1,70.1348,32.6858,Paris,FRA,France,49.03N,2.45E
1101237,2013-7-1,70.1672,32.6372,Brasília,BRA,Brazil,15.27S,47.50W
1349013,2013-7-1,55.0544,32.6498,Canoas,BRA,Brazil,29.74S,51.69W
3781460,2013-6-1,72.0176,32.5256,Kherson,UKR,Ukraine,47.42N,31.97E
3820502,2013-6-1,70.1996,32.6228,Kiev,UKR,Ukraine,50.63N,31.69E
5415860,2013-6-1,69.0854,32.5418,Odesa,UKR,Ukraine,45.81N,31.15E
4435014,2013-6-1,66.0074,32.459,Lvov,UKR,Ukraine,50.63N,24.08E
7899937,2013-6-1,58.8128,32.6336,Uppsala,SWE,Sweden,60.27N,16.22E
7180638,2013-6-1,57.7544,32.873,Stockholm,SWE,Sweden,58.66N,18.46E
1358226,2013-6-1,55.1138,33.116,Cape Town,SOU,South Africa,32.95S,18.19E
3503448,2013-6-1,49.9676,32.783,Johannesburg,SOU,South Africa,26.52S,28.66E
8159631,2013-6-1,65.1092,32.5112,Warsaw,POL,Poland,52.24N,21.02E
8258727,2013-6-1,61.1672,32.333,Wroclaw,POL,Poland,50.63N,16.48E
476301,2013-6-1,56.21,32.6768,Auckland,NEW,New Zealand,36.17S,175.03E
7716944,2013-6-1,72.9914,32.7848,Tottori,JAP,Japan,34.56N,134.27E
7661243,2013-6-1,69.6686,32.8802,Tokyo,JAP,Japan,36.17N,139.23E
